;;;;;;;;;;
42;Grupo 3 Estudio de Abogados;Empresa;772795496; La Habana, Cuba ;;;;;;
43;Grupo Ases;Empresa;370845396; Ciudad de Guatemala, Guatemala ;;;;;;
44;Hernandez, Micheal;Persona;836211885; La Paz, Bolivia ;;;;;;
45;Hill, Lucas;Persona;406578173; Monterrey, México ;;;;;;
46;Holyoke Producciones;Empresa;852769732; Córdoba, Argentina ;;;;;;
47;Jackson, Nicholas;Persona;707614386; Barranquilla, Colombia ;;;;;;
48;Jackson, Noah;Persona;771116619; Santiago de Cali, Colombia ;;;;;;
49;Johnson, Austin;Persona;617720204; Ciudad de México, México ;;;;;;
50;Johnson, Benjamin;Persona;787521287; Montevideo, Uruguay ;;;;;;
51;Johnson, Dalton;Persona;599037926; Managua, Nicaragua ;;;;;;
52;Jota Cnia;Empresa;339269938; Toluca, México ;;;;;;
53;Kelly, Chase;Persona;258257412; Monterrey, México ;;;;;;
54;Kiela Cnia;Empresa;231153346; Sevilla, España ;;;;;;
55;Kolkata Cnia;Empresa;534865861; San Salvador, El Salvador ;;;;;;
56;Kumar, Kevin;Persona;757707873; Caracas, Venezuela ;;;;;;
57;Kumar, Leonard;Persona;242567926; Managua, Nicaragua ;;;;;;
58;Lake Oswego Cnia;Empresa;522150339; Medellín, Colombia ;;;;;;
59;Lancaster Vestimenta;Empresa;510329136; Buenos Aires, Argentina ;;;;;;
60;Leo Seguros;Empresa;371310230; Guayaquil, Ecuador ;;;;;;
61;Lewis, Charles;Persona;820869845; Ciudad de Guatemala, Guatemala ;;;;;;
62;Liu, Louis;Persona;815744830; La Habana, Cuba ;;;;;;
63;Longview Cnia;Empresa;602575964; San Juan, Puerto Rico ;;;;;;
64;Lopez, Blake;Persona;405976270; Santiago, Chile ;;;;;;
65;Madridia Cnia;Empresa;528674787; Tegucigalpa, Honduras ;;;;;;
66;Martinez, Marco;Persona;762462667; Los Angeles, Estados Unidos ;;;;;;
67;Miller, Seth;Persona;577563397; Lima, Perú ;;;;;;
68;Mitchell, Connor;Persona;604085596; São Paulo, Brasil ;;;;;;
69;Mitchell, Marcus;Persona;693724543; Sevilla, España ;;;;;;
70;Morgan, Brian;Persona;772069253; Bogotá, Colombia ;;;;;;
71;Morris, Devin;Persona;570083840; Guadalajara, México ;;;;;;
72;Morris, Timothy;Persona;840955365; Los Angeles, Estados Unidos ;;;;;;
73;Oleagi Agropecuaria;Empresa;201839058; La Paz, Bolivia ;;;;;;
74;Oregon Cnia;Empresa;588289798; Santiago de Cali, Colombia ;;;;;;
75;Orlando Cnia;Empresa;458287489; Asunción, Paraguay ;;;;;;
76;Ortega, Marvin;Persona;261853276; Bogotá, Colombia ;;;;;;
77;Pal, Ricardo;Persona;207566479; Santo Domingo, República Dominicana ;;;;;;
78;Paris Cnia;Empresa;558593161; New York, Estados Unidos ;;;;;;
79;Perez, Jeremy;Persona;742873352; New York, Estados Unidos ;;;;;;
80;Ramos, Dwayne;Persona;520366451; Guayaquil, Ecuador ;;;;;;
81;Reed, Richard;Persona;377622755; Barranquilla, Colombia ;;;;;;
82;Richardson, Juan;Persona;705774082; Toluca, México ;;;;;;
83;Rivera, Adrian;Persona;224254096; Madrid, España ;;;;;;
84;Rochester Cnia;Empresa;433705870; Quito, Ecuador ;;;;;;
85;Rodolfo, Chavez;Persona;823100402; Maracaibo, Venezuela ;;;;;;
86;Rodriguez, Thomas;Persona;854879196; Ciudad de México, México ;;;;;;
87;Ross, Christian;Persona;459974134; Puebla, México ;;;;;;
88;Round Ventures;Empresa;231325847; Ciudad de México, México ;;;;;;
89;Sanchez, Eduardo;Persona;427898518; New York, Estados Unidos ;;;;;;
90;Sanchez, Ian;Persona;249823182; Trujillo, Perú ;;;;;;
91;Semillas Santo Mongo;Empresa;395455609; Lima, Perú ;;;;;;
92;Sharma, Ethan;Persona;574302082; San Salvador, El Salvador ;;;;;;
93;Smith, Jonathan;Persona;441824686; Valencia, España ;;;;;;
94;Smith, Julio;Persona;722722460; Santa Cruz de la Sierra, Bolivia ;;;;;;
95;South Portland Cnia;Empresa;644230146; Managua, Nicaragua ;;;;;;
96;Sunbury Cnia;Empresa;225770681; São Paulo, Brasil ;;;;;;
97;Torres, Isaiah;Persona;586851024; Lima, Perú ;;;;;;
98;Transportes Pampa;Empresa;397375640; Asunción, Paraguay ;;;;;;
99;Trenton Cnia;Empresa;805211764; San José, Costa Rica ;;;;;;
100;Turner, Richard;Persona;284736113; Asunción, Paraguay ;;;;;;
101;Victoria Cnia;Empresa;694310799; Maracaibo, Venezuela ;;;;;;
102;Viga Ingenieros;Empresa;255869094; Madrid, España ;;;;;;
103;Wapato Cnia;Empresa;501853861; Santa Cruz de la Sierra, Bolivia ;;;;;;
104;Ward, Jeremy;Persona;281797334; Córdoba, Argentina ;;;;;;
105;Washington, Jack;Persona;490574837; Río de Janeiro, Brasil ;;;;;;
106;Washington, Jose;Persona;342142162; San Juan, Puerto Rico ;;;;;;
107;Zeng, Omar;Persona;256950849; San José, Costa Rica ;;;;;;
