Fecha de venta,Nombre de Vendedor,Nombre de Cliente,ID de Venta,Cantidad productos vendidos,Cantidad de distintos productos vendidos,Monto total de la venta,Tipo de tarjeta,Tipo de Oferta
29-07-2008,,Molly Chandra,75031,2,2,8.0444,Vista,No Discount
29-07-2008,,Isaac Phillips,75032,2,2,8.0444,SuperiorCard,No Discount
29-07-2008,,Tony Shan,75033,2,2,43.0729,Vista,No Discount
29-07-2008,,Alvin Zeng,75034,1,1,8.7848,Vista,No Discount
29-07-2008,,Paige Coleman,75035,1,1,9.934,Vista,No Discount
29-07-2008,,Daniel Davis,75036,2,2,69.5929,SuperiorCard,No Discount
29-07-2008,,Xavier Thompson,75037,1,1,4.409,SuperiorCard,No Discount
29-07-2008,,Ashley Henderson,75038,3,3,87.8144,Distinguish,No Discount
29-07-2008,,Melissa Long,75039,2,2,30.1444,SuperiorCard,No Discount
29-07-2008,,Lauren Price,75040,3,3,42.9624,Vista,No Discount
29-07-2008,,Alexandre Lobao,75041,3,3,168.2694,Vista,No Discount
29-07-2008,,Charles Ward,75042,3,3,55.2169,Distinguish,No Discount
29-07-2008,,Mason Rivera,75044,2,2,16.5529,SuperiorCard,No Discount
29-07-2008,,Isabelle Bennett,75045,2,2,136.9979,SuperiorCard,No Discount
29-07-2008,,Lisa Liu,75047,2,2,44.1779,SuperiorCard,No Discount
29-07-2008,,Justin Flores,75048,3,3,146.9319,Distinguish,No Discount
29-07-2008,,Charles Robinson,75049,3,3,16.8292,Distinguish,No Discount
29-07-2008,,Charles Gray,75050,2,2,8.0444,SuperiorCard,No Discount
29-07-2008,,Seth Butler,75051,1,1,5.514,Distinguish,No Discount
29-07-2008,,Tracy Yuan,75052,3,3,165.7279,Distinguish,No Discount
29-07-2008,,Warren Tang,75054,2,2,54.6754,Vista,No Discount
29-07-2008,,Franklin Zhao,75055,3,3,164.6229,Vista,No Discount
29-07-2008,,Clayton He,75057,3,3,66.8194,Vista,No Discount
29-07-2008,,Rachel Jones,75060,2,2,156.8879,Vista,No Discount
28-07-2008,,Glenn Lin,74999,2,2,60.7529,Vista,No Discount
28-07-2008,,Marvin Ramos,75000,2,2,8.0444,SuperiorCard,No Discount
28-07-2008,,Neil Torres,75002,1,1,38.664,Vista,No Discount
28-07-2008,,Jackson Evans,75003,1,1,55.239,Vista,No Discount
28-07-2008,,Adrian Stewart,75004,2,2,43.0729,SuperiorCard,No Discount
28-07-2008,,Richard Walker,75005,3,3,30.6859,SuperiorCard,No Discount
28-07-2008,,Jessica Bailey,75006,5,5,113.7598,Vista,No Discount
28-07-2008,,Brandon Foster,75007,2,2,30.1444,Distinguish,No Discount
28-07-2008,,Mackenzie Phillips,75008,3,3,71.7919,SuperiorCard,No Discount
28-07-2008,,Gabrielle Rogers,75009,3,3,79.0959,Distinguish,No Discount
28-07-2008,,Arianna Torres,75010,1,1,33.139,Distinguish,No Discount
28-07-2008,,Angela Bennett,75012,1,1,5.514,Distinguish,No Discount
28-07-2008,,Alberto Gomez,75014,3,3,40.8408,SuperiorCard,No Discount
28-07-2008,,Sierra Edwards,75015,2,2,44.1779,Vista,No Discount
28-07-2008,,Jack Griffin,75016,4,4,79.5048,Distinguish,No Discount
28-07-2008,,Willie Black,75018,2,2,41.2055,Distinguish,No Discount
28-07-2008,,Edwin Guo,75019,4,4,79.5048,SuperiorCard,No Discount
28-07-2008,,Cesar Arun,75021,2,2,44.1779,Vista,No Discount
28-07-2008,,Arthur Van,75022,5,5,272.3273,SuperiorCard,No Discount
28-07-2008,,Marie Alvarez,75023,3,3,41.1834,Distinguish,No Discount
28-07-2008,,Meagan Suri,75026,2,2,28.1554,Vista,No Discount
28-07-2008,,Bonnie Andersen,75028,3,3,40.0784,Distinguish,No Discount
28-07-2008,,Lauren Thompson,75029,4,4,123.7158,Distinguish,No Discount
27-07-2008,,Byron Navarro,74969,3,3,77.3169,Vista,No Discount
27-07-2008,,Bethany Luo,74970,2,2,28.1554,Distinguish,No Discount
27-07-2008,,Roy Carlson,74971,1,1,23.7465,SuperiorCard,No Discount
27-07-2008,,Reginald Martin,74972,1,1,77.339,Distinguish,No Discount
27-07-2008,,Arturo Andersen,74974,1,1,38.664,SuperiorCard,No Discount
27-07-2008,,Cassie Raje,74976,3,3,70.1344,Distinguish,No Discount
27-07-2008,,Jared Peterson,74977,4,4,108.2458,Distinguish,No Discount
27-07-2008,,Charles Cook,74978,1,1,2.5305,Distinguish,No Discount
27-07-2008,,Madeline Hernandez,74981,2,2,30.1444,SuperiorCard,No Discount
27-07-2008,,Haley Bailey,74984,2,2,104.4004,Distinguish,No Discount
27-07-2008,,Brian Sanders,74985,1,1,5.514,Vista,No Discount
27-07-2008,,Thomas Gonzales,74986,2,2,44.1779,Distinguish,No Discount
27-07-2008,,Mariah Price,74987,3,3,71.2394,SuperiorCard,No Discount
27-07-2008,,Haley Foster,74988,3,3,89.4608,Distinguish,No Discount
27-07-2008,,Samantha Williams,74989,2,2,26.8184,Vista,No Discount
27-07-2008,,Sebastian Morgan,74990,2,2,51.3494,Vista,No Discount
27-07-2008,,Edwin Chande,74992,3,3,70.6869,Vista,No Discount
27-07-2008,,Colin Sun,74994,3,3,64.6094,Vista,No Discount
27-07-2008,,Bianca Wang,74995,1,1,23.7465,Vista,No Discount
27-07-2008,,Melody Browning,74997,2,2,32.5754,SuperiorCard,No Discount
26-07-2008,,Tommy Chander,74937,2,2,83.9469,Distinguish,No Discount
26-07-2008,,Kellie Blanco,74938,2,2,14.2987,Vista,No Discount
26-07-2008,,Desiree Alvarez,74939,2,2,180.104,SuperiorCard,No Discount
26-07-2008,,Jay Hernandez,74943,3,3,76.2119,Vista,No Discount
26-07-2008,,Nathan Mitchell,74944,5,5,140.2798,Distinguish,No Discount
26-07-2008,,David Patterson,74945,3,3,40.0784,Distinguish,No Discount
26-07-2008,,Chloe Parker,74946,4,4,131.4508,SuperiorCard,No Discount
26-07-2008,,Melissa Murphy,74947,3,3,42.9624,SuperiorCard,No Discount
26-07-2008,,Jasmine Rodriguez,74948,2,2,38.6529,Vista,No Discount
26-07-2008,,Elijah Wang,74950,4,4,82.2783,Vista,No Discount
26-07-2008,,Catherine Murphy,74952,1,1,11.039,Vista,No Discount
26-07-2008,,Blake Turner,74953,3,3,55.2169,SuperiorCard,No Discount
26-07-2008,,Neil Carlson,74954,2,2,132.5779,Vista,No Discount
26-07-2008,,Nathaniel Gray,74956,1,1,5.514,Vista,No Discount
26-07-2008,,Antonio Griffin,74957,2,2,8.0444,Distinguish,No Discount
26-07-2008,,Alexandra Griffin,74958,1,1,5.514,SuperiorCard,No Discount
26-07-2008,,Rachel Lee,74960,3,3,205.4969,Distinguish,No Discount
26-07-2008,,Dawn Gao,74962,3,3,68.4658,Distinguish,No Discount
26-07-2008,,Clinton Vazquez,74965,3,3,30.6859,Distinguish,No Discount
26-07-2008,,Ian Murphy,74967,3,3,101.6269,SuperiorCard,No Discount
26-07-2008,,Jasmine Jackson,74968,2,2,79.5269,Vista,No Discount
25-07-2008,,Brandy Chandra,74913,1,1,8.7848,SuperiorCard,No Discount
25-07-2008,,Theodore Sanz,74914,4,4,101.6158,SuperiorCard,No Discount
25-07-2008,,Teresa Gill,74915,5,5,134.2023,Vista,No Discount
25-07-2008,,Amanda Coleman,74916,2,2,15.4479,SuperiorCard,No Discount
25-07-2008,,Cody Howard,74917,1,1,59.659,Distinguish,No Discount
25-07-2008,,Levi Chandra,74918,1,1,9.934,Vista,No Discount
25-07-2008,,Nicholas Brown,74920,4,4,80.6208,SuperiorCard,No Discount
25-07-2008,,Deanna Blanco,74921,3,3,34.5534,SuperiorCard,No Discount
25-07-2008,,Ryan Thompson,74922,1,1,27.614,Distinguish,No Discount
25-07-2008,,Nancy Chapman,74923,3,3,76.2119,Distinguish,No Discount
25-07-2008,,Carson Flores,74924,1,1,36.023,Vista,No Discount
25-07-2008,,Eduardo James,74926,2,2,103.3065,Distinguish,No Discount
25-07-2008,,Timothy Evans,74927,3,3,47.4377,Vista,No Discount
25-07-2008,,Patrick Blue,74928,2,2,38.6529,Distinguish,No Discount
25-07-2008,,Nicole Jones,74929,3,3,55.2169,SuperiorCard,No Discount
25-07-2008,,Hunter McDonald,74930,1,1,77.339,SuperiorCard,No Discount
25-07-2008,,Emma Jackson,74932,4,4,109.3508,Vista,No Discount
25-07-2008,,Reginald Ruiz,74934,3,3,76.2119,SuperiorCard,No Discount
25-07-2008,,Allison Evans,74935,1,1,38.675,SuperiorCard,No Discount
24-07-2008,,Erick Suri,74874,5,5,135.2631,Distinguish,No Discount
24-07-2008,,Nina Raje,74876,2,2,8.0444,SuperiorCard,No Discount
24-07-2008,,Ebony Madan,74877,2,2,65.1729,Vista,No Discount
24-07-2008,,Desiree Romero,74878,1,1,59.659,SuperiorCard,No Discount
24-07-2008,,Roger Zhang,74879,1,1,175.695,Distinguish,No Discount
24-07-2008,,Catherine Morris,74880,2,2,6.9394,SuperiorCard,No Discount
24-07-2008,,Roger Deng,74881,2,2,44.1779,SuperiorCard,No Discount
24-07-2008,,Darren Arun,74883,2,2,30.1444,Vista,No Discount
24-07-2008,,Katrina Deng,74884,1,1,5.514,Distinguish,No Discount
24-07-2008,,Gabrielle Foster,74886,2,2,26.2769,Vista,No Discount
24-07-2008,,Daniel Davis,74887,1,1,5.514,SuperiorCard,No Discount
24-07-2008,,Sydney Scott,74890,3,3,79.0959,SuperiorCard,No Discount
24-07-2008,,Lucas Wood,74891,2,2,35.6694,Distinguish,No Discount
24-07-2008,,Victoria Griffin,74893,3,3,142.5119,Distinguish,No Discount
24-07-2008,,Mya Russell,74895,1,1,77.339,Distinguish,No Discount
24-07-2008,,Carol Scott,74897,2,2,15.4479,Distinguish,No Discount
24-07-2008,,Evan Murphy,74898,2,2,87.2729,Vista,No Discount
24-07-2008,,Stephanie Diaz,74900,3,3,110.5995,Distinguish,No Discount
24-07-2008,,Trisha Chen,74901,2,2,43.0729,Vista,No Discount
24-07-2008,,Mitchell Rai,74902,2,2,35.6694,Distinguish,No Discount
24-07-2008,,Cory Perez,74903,2,2,43.0729,SuperiorCard,No Discount
24-07-2008,,Ann Van,74904,1,1,5.514,SuperiorCard,No Discount
24-07-2008,,Dana Ortega,74905,2,2,26.2769,SuperiorCard,No Discount
24-07-2008,,Edgar Srini,74907,3,3,76.2119,Distinguish,No Discount
24-07-2008,,Ian Jenkins,74908,3,3,82.8529,SuperiorCard,No Discount
24-07-2008,,Brandy Chandra,74909,4,4,153.0204,SuperiorCard,No Discount
24-07-2008,,Erin Richardson,74911,2,2,33.0727,Distinguish,No Discount
24-07-2008,,Allison Sanchez,74912,2,2,26.8184,Vista,No Discount
